Unnamed: 0,title,budget,revenue,
751,The Trapped 13: How We Survived The Thai Cave,0,0,
1003,Hunger,0,0,
1075,The Lost Lotteries,0,0,
1832,The Protector,6000000,27165581,
1932,The Medium,0,7230000,
2015,Jan Dara: The Beginning,0,0,
2043,Jan Dara,0,0,
2679,Home for Rent,0,0,
2786,Fast & Feel Love,0,0,
2839,Ong Bak 2,8500000,8936663,
2865,Shutter,125000,0,
2876,Ong Bak: Muay Thai Warrior,1100000,20112926,
2981,The Whole Truth,0,0,
3505,Jan Dara: The Finale,0,0,
3562,Deep,0,0,
3595,The Protector 2,0,3302463,
3703,Long Live Love!,0,0,
5968,AI Love You,0,0,
7540,Ong Bak 3,0,2340363,
8145,Bad Genius,1839169,42350000,
8275,Ghost Lab,0,0,
9777,Chocolate,0,0,
,,,,